Text,Label
bohat hi umda kaam kiya hai,Positive
bohat hi zabardast aur shandar tha,Positive
bohat hi zabardast show tha,Positive
bohat mast mood mein hoon aaj,Positive
bohat pyara gift tha shukriya,Positive
bohat pyari yaad hai ye dil mein,Positive
bohat shandar tajruba tha,Positive
bohat shandar tha ye program,Positive
bohat umda kaam kiya hai usne,Positive
bohat umda likhaa hai usne,Positive
bohat umda tajruba tha bilkul,Positive
bohat zabardast kaam kiya hai team ne,Positive
bohat zabardast performance thi,Positive
bohot normal sahi tha,Neutral
bohut aala aur khoobsurat cheez hai ye,Positive
bohut aala aur mast cheez hai ye,Positive
bohut aala aur mast waqt tha,Positive
bohut aala aur shandar kaam kiya,Positive
bohut aala aur zabardast insaan hai tu,Positive
bohut aala insaan hai yaar,Positive
bohut aala tajruba tha ye,Positive
bohut acha aur mast tajruba raha yaar,Positive
bohut acha aur meaningful insaan hai tu,Positive
bohut acha aur meaningful waqt tha,Positive
bohut acha aur umda experience raha,Positive
bohut acha aur umda experience tha,Positive
bohut acha aur umda response tha,Positive
bohut acha aur umda show tha,Positive
bohut acha experience tha bilkul,Positive
bohut acha feel kiya yaar,Positive
bohut acha laga sun ke yaar,Positive
bohut acha laga yaar sach mein,Positive
bohut acha laga yaar sun ke,Positive
bohut acha tha yaar sach mein,Positive
bohut achi aur mast feeling thi,Positive
bohut achi aur mast performance thi,Positive
bohut achi aur meaningful baat ki hai,Positive
bohut achi aur meaningful koshish thi,Positive
bohut achi aur umda cheez hai ye,Positive
bohut achi aur umda jagah hai,Positive
bohut achi aur umda performance rahi,Positive
bohut achi aur umda service mili,Positive
bohut achi feeling thi yaar sach mein,Positive
bohut achi koshish ki hai usne,Positive
bohut achi mehnat ki hai team ne,Positive
bohut emotional moment tha yaar,Positive
bohut hi acha aur meaningful tha ye,Positive
bohut hi mast aur shandar film thi,Positive
bohut khoobsurat aur dil ko chhune wala,Positive
bohut khoobsurat aur pyara moment tha,Positive
bohut khoobsurat aur pyari jagah thi,Positive
bohut khoobsurat aur shandar din guzra,Positive
bohut khoobsurat aur shandar jagah hai,Positive
bohut khoobsurat moment tha ye,Positive
bohut mast aur aala tajruba tha,Positive
bohut mast aur khoobsurat film thi,Positive
bohut mast aur khoobsurat tajruba tha,Positive
bohut mast aur pyara gift tha shukriya,Positive
bohut mast aur shandar hai ye cheez,Positive
bohut mast aur shandar kaam hai,Positive
bohut mast aur shandar product hai,Positive
bohut mast aur shandar show tha,Positive
bohut mast aur shandar tha ye tajruba,Positive
bohut mast aur shandar waqt tha,Positive
bohut mast aur zabardast cheez hai,Positive
bohut mast aur zabardast show tha yaar,Positive
bohut mast gaana tha yaar sach mein,Positive
bohut pyara aur dil chhune wala moment,Positive
bohut pyara aur dil ko chhu lene wala tha,Positive
bohut pyara aur dil ko chhune wala moment,Positive
bohut pyara aur dil ko chhune wala tha,Positive
bohut pyara aur emotional moment tha,Positive
bohut pyara aur meaningful moment tha,Positive
bohut pyara aur meaningful tha ye,Positive
bohut pyara aur zabardast moment tha,Positive
bohut pyara moment tha dil bhar aaya,Positive
bohut pyari aur khoobsurat cheez hai,Positive
bohut pyari aur khoobsurat soch hai,Positive
bohut pyari feeling thi yaar sach mein,Positive
bohut pyari jagah thi maza aa gaya,Positive
bohut shandar aur khoobsurat hai ye,Positive
bohut shandar aur khoobsurat soch hai teri,Positive
bohut shandar aur mast kaam kiya hai,Positive
bohut shandar aur mast program tha,Positive
bohut shandar aur umda baat ki,Positive
bohut shandar aur umda kaam kiya,Positive
bohut shandar aur umda moment tha,Positive
bohut shandar aur umda performance thi,Positive
bohut shandar aur umda tha ye sab,Positive
bohut shandar aur zabardast experience tha,Positive
bohut umda aur aala tajruba raha,Positive
bohut umda aur pyara tajruba tha,Positive
bohut umda aur shandar show tha,Positive
bohut umda aur zabardast experience tha,Positive
bohut umda aur zabardast tajruba tha,Positive
bohut zabardast aur first class kaam hai,Positive
bohut zabardast aur first class tha,Positive
bohut zabardast aur khoobsurat jagah hai,Positive
bohut zabardast aur mast show tha,Positive
bohut zabardast aur pyara tajruba tha,Positive
bohut zabardast aur shandar kaam hai,Positive
bohut zabardast aur shandar kaam kiya,Positive
bohut zabardast aur shandar program tha,Positive
bohut zabardast aur umda insaan hai tu,Positive
bohut zabardast film thi yaar,Positive
bura nahi tha lekin acha bhi nahi,Neutral
chal bhaag yahan se ganda insaan,Negative
chal bhaag yahan se kameene,Negative
chal bhaag yahan se nalayak kahin ka,Negative
chal liya din theek se,Neutral
chal nikal yahan se badzaat,Negative
chal nikal yahan se besharam insaan,Negative
chal nikal yahan se besharam,Negative
chal nikal yahan se gande insaan,Negative
chal nikal yahan se harami kahin ka,Negative
chal nikal yahan se naali ke keede,Negative
chal nikal yahan se nalayak insaan,Negative
chal nikal yahan se sharif bann pehle,Negative
chal raha hai zindagi ka safar,Neutral
dil bhar aaya yaar bohat acha tha,Positive
dil bhar aaya yaar bohut pyara tha,Positive
dil bhar aaya yaar ekdum sach mein,Positive
dil bhar aaya yaar ekdum sach,Positive
dil bhar aaya yaar ekdum,Positive
dil bhar aaya yaar sach mein,Positive
dil garden ho gaya yaar sach mein,Positive
dil garden ho gaya yaar,Positive
dil khush ho gaya ekdum yaar,Positive
dil khush ho gaya sun ke yaar,Positive
dil khush ho gaya yaar bilkul,Positive
dil khush ho gaya yaar sach mein,Positive
dil khush ho gaya yaar sun ke,Positive
dil khush ho gaya ye sun ke,Positive
dil khush kar diya yaar tune aaj,Positive
din bhar kuch alag nahi hua,Neutral
din bhar kuch khaas nahi hua,Neutral
din bhar kuch khas nahi raha,Neutral
din bhar kuch nahi hua khaas,Neutral
din bhar kuch nahi hua yaar,Neutral
din bhar kuch nahi hua,Neutral
din bhar normal raha sab kuch,Neutral
din bhar okay raha sab,Neutral
din bhar sab kuch normal raha,Neutral
din bhar sab okay raha,Neutral
din guzar gaya normal,Neutral
din guzar gaya theek thaak sa,Neutral
din guzar gaya theek thaak,Neutral
din guzar gaya wahi routine,Neutral
din guzar gaya wahi tarah se,Neutral
din normal guzar gaya yaar,Neutral
din normal guzra kuch alag nahi,Neutral
din normal guzra kuch khas nahi,Neutral
din normal guzra kuch special nahi,Neutral
din normal guzra,Neutral
din normal tha kuch special nahi,Neutral
din okay guzra kuch khas nahi,Neutral
din okay guzra,Neutral
din theek guzra bas,Neutral
din theek se guzar gaya,Neutral
din theek tha kuch alag nahi,Neutral
ekdum aala aur zabardast cheez hai,Positive
ekdum first class aur khoobsurat jagah,Positive
ekdum first class aur shandar kaam,Positive
ekdum first class aur zabardast hai ye,Positive
ekdum first class kaam hai,Positive
ekdum khoobsurat aur shandar cheez hai,Positive
ekdum khoobsurat aur zabardast cheez,Positive
ekdum khoobsurat aur zabardast jagah,Positive
ekdum mast aur aala tajruba tha,Positive
ekdum mast aur first class performance thi,Positive
ekdum mast aur khoobsurat performance thi,Positive
ekdum mast aur khoobsurat tajruba,Positive
ekdum mast aur pyara waqt tha,Positive
ekdum mast aur shandar jagah thi,Positive
ekdum mast aur umda experience tha,Positive
ekdum mast aur zabardast kaam kiya,Positive
ekdum mast insaan hai tu,Positive
ekdum on hai scene bilkul mast hai,Positive
ekdum on hai scene bilkul mast,Positive
ekdum on hai yaar scene bilkul,Positive
ekdum shandar aur mast waqt tha,Positive
ekdum shandar aur umda kaam kiya hai,Positive
ekdum zabardast aur khoobsurat jagah hai,Positive
ekdum zabardast aur khoobsurat tha,Positive
ekdum zabardast aur shandar kaam hai,Positive
ekdum zabardast aur umda show tha,Positive
gaa** maar apni ye faltu soch,Negative
haan bhai bohut acha hai bilkul,Positive
haan yaar maza aa gaya bilkul,Positive
haan yaar sach mein bohat acha tha,Positive
hadd hai itni bakwas koi karta hai,Negative
hadd hai yaar itna ganda sulook,Negative
haramzade ki aulad hai tu,Negative
is awaaz se dimagh kharab hota hai,Negative
is banda ne dhoka diya hai poora,Negative
is banda ne poori zindagi kharab ki,Negative
is banda par kabhi trust mat karna,Negative
is banda pe trust mat karo,Negative
is bande jaisa badzaat kabhi nahi mila,Negative
is bande jaisa beghairat koi nahi,Negative
is bande jaisa kameena kabhi nahi mila,Negative
is bande jaisa kameena pehle nahi dekha,Negative
is bande jaisa nalayak koi nahi,Negative
is bande jaisa napasand koi nahi,Negative
is bande jaisi ghatia harkat kisi ne nahi ki,Negative
is bande jaisi ghatia harkat nahi ki kisi ne,Negative
is bande jaisi ghatia soch kisi ki nahi,Negative
is bande ke haath nahi lagana chahiye,Negative
is bande ke kaam pe trust nahi,Negative
is bande ki baat poori jhoot hai,Negative
is bande ki baat se gussa aata hai,Negative
is bande ki baat soch ke bhi sharam aati hai,Negative
is bande ki baat sun ke sar dard hota hai,Negative
is bande ki baat sun ke sir ghoomta hai,Negative
is bande ki harkat bilkul beghairat wali thi,Negative
is bande ki harkat bilkul beghairat wali,Negative
is bande ki harkat bilkul ghatia thi,Negative
is bande ki harkat dekh ke sharam aati hai,Negative
is bande ki harkat pe mujhe nafrat hai,Negative
is bande ki harkat pe sharam aati hai,Negative
is bande ki harkat pe tarsoos aata hai,Negative
is bande ki harkat pe thookne ka dil karta hai,Negative
is bande ki shakal dekh ke ulti aati hai,Negative
is bande ki soch bilkul ghatia hai,Negative
is bande ki soorat dekh ke naak charhti hai,Negative
is bande ki soorat se nafrat hai,Negative
is bande ki wajah se aaj poora din kharab hua,Negative
is bande ki wajah se bohut bura laga,Negative
is bande ne bohut bura kiya,Negative
is bande ne bohut bura sulook kiya,Negative
is bande ne dhoka diya bilkul,Negative
is bande ne dhoka diya hai,Negative
is bande ne mujhe tou poora disappoint kiya,Negative
is bande ne poora paisa loot liya,Negative
is bande ne poora waqt waste kiya,Negative
is bande ne tou hadd hi kar di,Negative
is bande ne tou hadd kar di,Negative
is bande ne tou loot liya poora,Negative
is bande pe kabhi bharosa mat karna,Negative
is bande pe kabhi bharosa nahi karna,Negative
is bande pe kabhi mat jao,Negative
is bande pe mat jao bilkul,Negative
is bande pe thookne ka dil karta hai,Negative
is bande se door raho,Negative
is bande se door rehna chahiye,Negative
is bande se door rehna hi aql mandi hai,Negative
is bande se door rehna hi behtar hai,Negative
is bande se koi kaam nahi,Negative
is bande se nafrat aati hai,Negative
is bande se zyada bekar koi nahi,Negative
is cheez ka koi faida nahi,Negative
is cheez ne bohut bura laga,Negative
is cheez ne bohut disappoint kiya,Negative
is cheez ne dimag kharab kar diya,Negative
is cheez ne mujhe bilkul na pasand aaya,Negative
is cheez ne mujhe bilkul na pasand,Negative
is cheez ne mujhe poori tarah disappoint kiya,Negative
is cheez ne poora din kharab kiya,Negative
is cheez ne poora din waste kiya,Negative
is cheez ne poora paisa waste kiya,Negative
is cheez ne poori raat kharab ki,Negative
is cheez ne poori tarah se disappointing kiya,Negative
is cheez ne sir dard diya,Negative
is cheez ne time aur paisa dono waste kiye,Negative
is cheez ne time waste kiya,Negative
is cheez ne tou naak mein dum kar diya,Negative
is cheez ne tou poora paisa barbaad kiya,Negative
is cheez ne tou poora time waste kiya,Negative
is cheez pe bohut gussa aata hai,Negative
is cheez pe ek paisaa bhi mat lagao,Negative
is cheez pe itna gussa aata hai,Negative
is cheez pe itna gussa aaya kabhi nahi,Negative
is cheez pe paisa mat lagao bilkul,Negative
is cheez pe paisa waste nahi karna chahiye,Negative
is cheez se tou bohut gussa aaya,Negative
is ghar mein rehna dushwaar hai,Negative
is ghatia insaan se door rehna hi behtar,Negative
is harkat par mujhe gussa aa raha hai,Negative
is harkat pe mujhe bohut gussa aaya,Negative
is jagah ka khana waqi mast hai,Positive
is ki baat se naak mein dum aata hai,Negative
is ne tou naak mein dum kar diya,Negative
is product ne poora paise barbad kiye,Negative
is product ne tou loot liya,Negative
is se zyada bekar koi nahi,Negative
iski baat pe dhyan mat do faltu hai,Negative
itna bekar aur ganda sulook,Negative
itna bekar aur napasand cheez,Negative
itna bekar kaam kabhi nahi dekha yaar,Negative
itna bekar kaam pehle nahi dekha,Negative
itna bekar time kabhi nahi guzara,Negative
itna ganda aur jhootha insaan,Negative
itna ganda kaam kisne kiya,Negative
itna ganda sulook kyun kiya,Negative
itna jhootha insaan pehle nahi mila,Negative
itna makkar aur jhootha insaan,Negative
itni bakwaas baat pehle nahi suni,Negative
itni ghatia cheez kahan se laaye,Negative
itni ghatia cheez pehle nahi dekhi,Negative
itni ghatia harkat kisine nahi ki,Negative
itni ghatia soch rakhta hai ye,Negative
ja apni maa ko sambhal pehle,Negative
kaam chal raha hai theek se,Neutral
kaam kaafi theek se hua,Neutral
kameene ki aulad hai tu,Negative
khana aaya theek tha kuch khas nahi,Neutral
khana na garam tha na thanda,Neutral
khana okay tha atmosphere theek tha,Neutral
khana okay tha kuch khas nahi,Neutral
khana okay tha magar best nahi tha,Neutral
khana okay tha na zyada na kam tha,Neutral
khana okay tha na zyada na kam,Neutral
khana okay tha sahi tha,Neutral
khana theek tha atmosphere bhi okay,Neutral
khana theek tha atmosphere okay tha,Neutral
khana theek tha kuch khaas nahi tha,Neutral
khana theek tha magar best nahi,Neutral
khana theek tha sab okay,Neutral
khana thoda okay tha,Neutral
kitna bekar insaan hai ye,Negative
kitna ganda banda hai ye bilkul,Negative
kitna jhootha aur makkar hai ye,Negative
koi khaas baat nahi thi,Neutral
kuch alag nahi tha aaj bhi,Neutral
kuch bhi alag nahi tha aaj,Neutral
kuch bhi alag nahi tha,Neutral
kuch bhi khaas nahi aaj bhi,Neutral
kuch bhi khaas nahi abhi,Neutral
kuch bhi khaas nahi hua aaj,Neutral
kuch bhi khaas nahi raha,Neutral
kuch bhi khaas nahi tha aaj,Neutral
kuch bhi nahi khaas wahi wala,Neutral
kuch bhi special nahi tha aaj,Neutral
kuch bhi special nahi tha,Neutral
kuch khas nahi magar okay hai,Neutral
kuch nahi hua khaas aaj,Neutral
kuch nahi khaas wahi routine,Neutral
kuch nahi zyada sab okay,Neutral
kuch samajh nahi aaya mujhe,Neutral
kuch zyada hi bakwas kar raha hai,Negative
kuch zyada nahi kuch kam nahi,Neutral
kuch zyada nahi sab chal raha hai,Neutral
kuta bhi isse behtar sulook karta hai,Negative
kutta bhi tujhse behtar hai yaar,Negative
kya aala aur pyara insaan hai tu,Positive
kya aala aur shandar kaam kiya hai,Positive
kya aala aur zabardast insaan hai tu,Positive
kya bakwaas hai ye band kar apna muh,Negative
kya khoobsurat aur umda cheez hai,Positive
kya mast aur first class experience tha,Positive
kya mast aur shandar khana tha,Positive
kya mast aur umda kaam kiya hai,Positive
kya mast aur umda performance thi,Positive
kya mast gaana hai yaar,Positive
kya muh uthake chale aate ho yahan,Negative
kya munh uthake chale aate ho,Negative
kya pyara aur khoobsurat ehsaas tha,Positive
kya pyara aur khoobsurat moment tha,Positive
kya shandar aur first class kaam hai,Positive
kya shandar aur first class performance,Positive
kya shandar aur umda performance thi,Positive
kya umda aur aala insaan hai tu,Positive
kya umda aur mast cheez bani hai,Positive
kya umda aur mast insaan hai tu,Positive
kya umda aur zabardast insaan hai tu,Positive
kya ye banda bolta hi rehta hai bakwas,Negative
kya ye banda rokta hi nahi bakwas se,Negative
kya zabardast aur first class hai ye,Positive
kya zabardast aur mast product hai,Positive
kya zabardast aur umda insaan hai tu,Positive
kya zabardast aur umda performance thi,Positive
kya zabardast baat hai yaar,Positive
lu le apni auqat aur chup ho ja,Negative
lu le apni baat aur nikal yahan se,Negative
madarchod band kar apni zuban,Negative
mast movie thi bohut enjoy kiya,Positive
mast tajruba tha bohat acha,Positive
mast time tha yaar sach mein,Positive
maza aa gaya bilkul mast tha,Positive
maza aa gaya yaar bilkul,Positive
maza aa gaya yaar ekdum mast,Positive
movie ka scene bohat emotional tha,Positive
movie theek thi magar kuch khaas nahi,Neutral
mujhe mat sikhao tumhari wajah kya hai,Negative
na acha na bura bas theek,Neutral
na exciting na boring bas okay,Neutral
na exciting na boring theek hai,Neutral
na gussa na khushi bas normal,Neutral
na gussa na khushi wahi wala,Neutral
na kuch acha na kuch bura theek,Neutral
na kuch acha na kuch bura,Neutral
na kuch acha na kuch ganda,Neutral
na kuch acha na kuch zyada,Neutral
na kuch alag na kuch special,Neutral
na kuch bura na kuch acha,Neutral
na kuch exciting na kuch aur,Neutral
na kuch exciting na kuch boring bas okay,Neutral
na kuch exciting na kuch boring tha,Neutral
na kuch exciting na kuch boring,Neutral
na kuch exciting na kuch bura bas theek,Neutral
na kuch exciting na kuch bura tha,Neutral
na kuch exciting na kuch bura,Neutral
na kuch kamaal na kuch bekar,Neutral
na kuch khaas na kuch bura,Neutral
na kuch maza na kuch bura,Neutral
na kuch naya na kuch bura theek,Neutral
na kuch naya na kuch bura,Neutral
na kuch naya na kuch purana,Neutral
na kuch special na kuch boring,Neutral
na kuch zyada na kuch kam okay,Neutral
na kuch zyada na kuch kam,Neutral
na kuch zyada na kuch theek,Neutral
na maza aaya na bura laga,Neutral
na maza na bore bas guzar gaya,Neutral
na maza na bore bas theek,Neutral
na maza na bura bas okay,Neutral
na maza na bura din guzra,Neutral
na maza na bura wahi wala,Neutral
na pasand na napasand,Neutral
na positive na negative bas okay,Neutral
na positive na negative kuch nahi,Neutral
na positive na negative neutral hai,Neutral
na positive na negative theek,Neutral
na zyada acha na zyada bura,Neutral
naali ka keeda hai tu bilkul,Negative
nikal yahan se besharam kahin ka,Negative
nikal yahan se haramzade kahin ke,Negative
nikal yahan se kameene kahin ke,Negative
nikal yahan se kutta kahin ka,Negative
nikal yahan se naali ke keede kahin ke,Negative
nikal yahan se naali ke keede,Negative
nikal yahan se suar ki aulad,Negative
normal chal raha hai sab kuch,Neutral
normal din guzar gaya,Neutral
normal din tha kuch alag nahi,Neutral
normal din tha kuch khas nahi,Neutral
normal din tha wahi wala,Neutral
normal din tha,Neutral
normal guzar raha hai sab,Neutral
normal hai din abhi,Neutral
normal hai situation abhi,Neutral
normal life chal rahi hai,Neutral
normal sa din guzar gaya,Neutral
normal sa din tha,Neutral
normal sa din,Neutral
normal zindagi chal rahi hai,Neutral
okay chal raha hai sab kuch,Neutral
okay chal raha hai sab yaar,Neutral
okay chal raha hai yaar,Neutral
okay chal rahi hai zindagi,Neutral
okay hai bas,Neutral
okay hai magar bohut bhi nahi,Neutral
okay hai magar outstanding nahi hai,Neutral
okay hai magar outstanding nahi,Neutral
okay hai sab kuch,Neutral
okay hai sab yaar,Neutral
okay hai situation abhi ke liye,Neutral
okay hai situation,Neutral
okay okay bas yahi hai,Neutral
okay raha din bhar,Neutral
okay tha bas okay hi tha,Neutral
okay tha khana aur kuch theek,Neutral
okay tha sab kuch,Neutral
okay tha yaar kuch khas nahi,Neutral
price thori zyada lagti hai,Neutral
roz ka wahi kaam wahi zindagi,Neutral
roz ki tarah din guzar gaya,Neutral
roz ki tarah din tha aaj bhi,Neutral
roz ki tarah normal din tha,Neutral
roz ki tarah normal raha,Neutral
roz ki tarah normal sa din,Neutral
roz ki tarah theek tha,Neutral
roz ki tarah wahi wali zindagi,Neutral
roz ki zindagi chal rahi hai bas,Neutral
roz ki zindagi normal,Neutral
roz ki zindagi wahi hai,Neutral
roz ki zindagi wahi wali hai,Neutral
sab kuch apni jagah theek hai,Neutral
sab kuch apni jagah theek sa,Neutral
sab kuch normal chal raha hai yaar,Neutral
sab kuch normal chal raha hai,Neutral
sab kuch normal raha,Neutral
sab kuch normal theek hai,Neutral
sab kuch okay hai abhi,Neutral
sab kuch okay hai kuch nahi khaas,Neutral
sab kuch okay normal chal raha,Neutral
sab kuch okay raha din bhar,Neutral
sab kuch theek chal raha hai,Neutral
sab kuch thoda normal hai,Neutral
sab okay hai situation normal,Neutral
sab okay hai situation theek,Neutral
sab theek chal raha hai bas,Neutral
sab theek chal raha hai,Neutral
sab theek hai kuch khaas nahi,Neutral
sach mein dil khush ho gaya,Positive
scene okay hai abhi ke liye,Neutral
scene theek hai abhi ke liye,Neutral
seedha jawab do koi ghuma phiray nahi,Neutral
service kaafi theek thi,Neutral
sharam aani chahiye teri is harkat pe,Negative
sharam aani chahiye teri soch pe,Negative
sharam aani chahiye tujhe apni soch pe,Negative
sharam aani chahiye tujhe is harkat pe,Negative
sharam ka koi kaam nahi tere liye,Negative
sharam kar apni harkat pe gadhe,Negative
sharam kar apni is bakwas pe,Negative
sharam kar tujhe tou sharam aani chahiye,Negative
sharam karti hai tujhe is baat pe,Negative
sharam nahi aati teri is harkat pe,Negative
sharam nahi aati teri ye soch ke,Negative
sharam nahi aati tujhe ye karte hue,Negative
situation bilkul normal chal rahi hai,Neutral
situation normal chal rahi hai yaar,Neutral
situation normal chal rahi hai,Neutral
situation normal hai abhi,Neutral
situation okay hai abhi,Neutral
situation okay hai filhaal,Neutral
situation stable hai aaj bhi,Neutral
situation stable hai filhaal,Neutral
situation stable hai kuch khas nahi,Neutral
situation stable hai kuch nahi khaas,Neutral
situation theek hai abhi ke liye,Neutral
situation theek hai filhaal,Neutral
situation theek hai yaar,Neutral
subhan allah bohat pyari jagah hai,Positive
subhanallah bohat pyari baat ki hai,Positive
subhanallah kya cheez bani hai,Positive
teri auqat nahi hai mujhse baat karne ki,Negative
teri auqat nahi hai ye bolne ki,Negative
teri baat sun ke dimagh kharab hota hai,Negative
teri harkat bilkul galat thi,Negative
teri maa ka yaar tu kya cheez hai,Negative
teri maa kasam bilkul jhootha aur makkar,Negative
teri maa kasam gandu hai tu bilkul,Negative
teri maa kasam ghatia insaan hai tu,Negative
teri maa kasam kameena insaan hai tu,Negative
teri maa kasam kameene ki aulad,Negative
teri maa kasam kitna bura insaan hai,Negative
teri maa kasam kitna ghatia hai tu,Negative
teri maa kasam kuch bhi dhang ka nahi tujhmein,Negative
teri maa kasam kuch nahi tujh mein,Negative
teri maa kasam kya ghatia insaan hai tu,Negative
teri maa kasam kya nalayak hai tu,Negative
teri maa kasam poora makkar nikla,Negative
teri maa kasam tu to beghairat nikla,Negative
teri maa kasam tune bohut bura kiya,Negative
teri maa kasam tune hadd kar di aaj,Negative
teri maa kasam tune hadd kar di yaar,Negative
teri maa kasam tune hadd kar di,Negative
teri maa kasam tune naak kataai,Negative
teri maa kasam tune poori izzat kharab ki,Negative
teri maa kasam ye kya harkat hai,Negative
teri maa kasam ye kya soch hai teri,Negative
teri maa ki _____ band kar ye bakwas,Negative
teri maa ki aankh kya problem hai tujhe,Negative
teri maa ki aankh ye kya bakwas hai,Negative
teri maa ki kasam kitna jhootha hai tu,Negative
teri mehnat waqi qabil e taareef hai,Positive
teri soch bilkul gutter ki nali hai,Negative
teri soch gutter se bhi gandi hai,Negative
teri soch itni ghatia kyun hai,Negative
teri soch mein koi dam nahi,Negative
teri soch to gutter ki nali se bhi buri,Negative
teri soch tou gutter se bhi gandi hai,Negative
teri zuban pe lagaam nahi koi,Negative
theek chal raha hai din,Neutral
theek chal raha hai sab kuch,Neutral
theek chal rahi hai zindagi,Neutral
theek hai bas chalata hai,Neutral
theek hai bilkul theek,Neutral
theek hai chalata hai,Neutral
theek hai chalata rahe ga,Neutral
theek hai kuch khaas nahi,Neutral
theek hai kuch khas nahi,Neutral
theek hai kuch zyada nahi kuch kam nahi,Neutral
theek hai kuch zyada nahi,Neutral
theek hai situation kuch khas nahi,Neutral
theek tha bas itna hi keh sakta hoon,Neutral
theek tha bas itna hi,Neutral
theek tha bas okay okay,Neutral
theek tha bas theek,Neutral
theek tha din kuch khas nahi,Neutral
theek tha din sab okay raha,Neutral
theek tha kuch khas nahi tha,Neutral
theek tha lekin bahut zyada nahi,Neutral
theek tha na maza na bore,Neutral
theek tha sab kuch,Neutral
theek tha wahi wala din guzra,Neutral
theek thaak chal raha hai sab,Neutral
theek thaak din guzara aaj,Neutral
theek thaak din guzra,Neutral
theek thaak din raha,Neutral
theek thaak din tha bas,Neutral
theek thaak din tha,Neutral
theek thaak hai sab kuch,Neutral
theek thaak raha din,Neutral
theek thaak raha sab kuch,Neutral
theek thaak roz ki zindagi hai,Neutral
theek thaak service thi kuch khas nahi,Neutral
theek thaak service thi,Neutral
theek thaak tha sab kuch,Neutral
theek thaak tha yaar kuch bhi nahi,Neutral
thoda time lag sakta hai magar chalega,Neutral
thodi si problem hai magar chalega,Neutral
tu bilkul badzaat aur beghairat insaan hai,Negative
tu bilkul badzaat aur nalayak nikla,Negative
tu bilkul beghairat aur nalayak hai,Negative
tu bilkul harami aur beghairat hai,Negative
tu bilkul harami aur makkar nikla,Negative
tu bilkul hi kameena aur makkar hai,Negative
tu bilkul hi nalayak aur badzaat,Negative
tu bilkul hi suar ki aulad hai,Negative
tu bilkul janwar ki tarah hai,Negative
tu bilkul jhootha aur beghairat nikla,Negative
tu bilkul kutta aur harami hai,Negative
tu bilkul naali ka keeda hai,Negative
tu bilkul suar jaisa hai yaar,Negative
tu bilkul suar ki tarah ganda hai,Negative
tu to bilkul hi badzaat nikla,Negative
tu to bilkul hi ganda aur jhootha nikla,Negative
tu to poora badzaat aur beghairat hai,Negative
tu to poora badzaat aur makkar nikla,Negative
tu to poora besharam aur ganda hai,Negative
tu to poora besharam aur nalayak hai,Negative
tu to poora chor aur dhoka dene wala,Negative
tu to poora chor aur makkar nikla,Negative
tu to poora dheet aur beghairat hai,Negative
tu to poora dheet aur besharam hai,Negative
tu to poora dheet aur nalayak nikla,Negative
tu to poora ganda aur beghairat insaan hai,Negative
